Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Quintana Roo ",1.433869272,1.426836885,1.399386154,1.377644625,1.36967722,1.421599342,1.463599378,1.53494833,1.622968513,1.659577003,1.647092766
,Actividades terciarias >  48-49 Transportes correos y almacenamiento San Luis Potos� ",1.679787961,1.693521386,1.731610111,1.751303542,1.7149719,1.710777738,1.697806741,1.70367458,1.689895981,1.653010963,1.643983758
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Sinaloa ",2.21238494,2.127654499,2.10246647,2.128038768,2.180919226,2.146178014,2.093149582,2.062520833,2.089112678,2.093188871,2.027325931
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Sonora ",2.090088893,2.035814526,2.073012382,2.069814043,2.041180144,1.983199365,1.943832574,1.932192981,1.902729188,1.915025181,1.905727172
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Tabasco ",1.36390949,1.379202318,1.448979507,1.427050416,1.426728488,1.450823391,1.468417819,1.495194401,1.417656168,1.336727153,1.290072673
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Tamaulipas ",3.882120774,3.906497695,3.989683595,4.17521606,4.263850789,4.309125946,4.431441369,4.393930413,4.325682758,4.395213216,4.352827583
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Tlaxcala ",0.852381314,0.84728668,0.817351556,0.793268433,0.75919809,0.748739427,0.705086896,0.658850932,0.633691699,0.578457605,0.539861246
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Veracruz de Ignacio de la Llave ",5.40364002,5.668833356,5.823919909,6.004710016,5.887435425,5.793114085,5.793838017,5.795296408,5.64676017,5.525244163,5.425747445
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Yucat�n ",1.049843571,1.026342182,1.003082393,0.971967972,0.954619858,0.932436009,0.941211712,0.922163225,0.916052108,0.904590562,0.936176396
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Zacatecas ",0.38976356,0.385810417,0.396978427,0.398385697,0.399633319,0.391442698,0.396977647,0.392687276,0.389450416,0.379501253,0.371604896
